omega/M,delta_phi_sc_T-0.1M,delta_phi_R_T-0.1M,delta_phi_tot_T-0.1M,delta_phi_sc_T-0.7M,delta_phi_R_T-0.7M,delta_phi_tot_T-0.7M,delta_phi_sc_T-1M,delta_phi_R_T-1M,delta_phi_tot_T-1M,delta_phi_sc_T-2M,delta_phi_R_T-2M,delta_phi_tot_T-2M,delta_sigma_sc_T-0.1M,delta_sigma_R_T-0.1M,delta_sigma_tot_T-0.1M,delta_sigma_sc_T-0.7M,delta_sigma_R_T-0.7M,delta_sigma_tot_T-0.7M,delta_sigma_sc_T-1M,delta_sigma_R_T-1M,delta_sigma_tot_T-1M,delta_sigma_sc_T-2M,delta_sigma_R_T-2M,delta_sigma_tot_T-2M
0.299863134857557,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.419582256721879,-0.413443420833686,0.00613883588819355,0,0,0,0,0,0,0,0,0,0.242078292310628,-0.23864177198604,0.00343652032458732
0.307344480420214,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.424290924738716,-0.417838673391287,0.0064522513474295,0,0,0,0,0,0,0,0,0,0.25272081613534,-0.248973877569887,0.00374693856545316
0.315012479575533,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.428976166587949,-0.422194347559868,0.00678181902808098,0,0,0,0,0,0,0,0,0,0.26312156263833,-0.259048173132951,0.00407338950537853
0.322871789181476,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.433605619254508,-0.426477223219694,0.00712839603481459,0,0,0,0,0,0,0,0,0,0.273302050669907,-0.268885338278582,0.00441671239132425
0.330927182280889,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.43819061810472,-0.430697743441395,0.00749287466332491,0,0,0,0,0,0,0,0,0,0.283260303869585,-0.278482505854737,0.00477779801484797
0.339183551000225,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.442792144314303,-0.434915966580449,0.00787617773385348,0,0,0,0,0,0,0,0,0,0.293016195246486,-0.287858615900767,0.00515757934571967
0.347645909520579,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.447350136882577,-0.439070818320179,0.00827931856239857,0,0,0,0,0,0,0,0,0,0.30259074636753,-0.297033707686737,0.00555703868079369
0.356319397122859,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.451917651921159,-0.443214326301763,0.0087033256193968,0,0,0,0,0,0,0,0,0,0.311996963803849,-0.306019750108843,0.005977213695006
0.365209281308923,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.456656378677291,-0.447507149312604,0.00914922936468738,0,0,0,0,0,0,0,0,0,0.321299055261332,-0.314879879099891,0.00641917616144133
0.374320961000592,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.461086735612527,-0.451468328082858,0.00961840752966825,0,0,0,0,0,0,0,0,0,0.33031465718652,-0.323430492478071,0.00688416470844836
0.38365996981847,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.465684410812723,-0.455572535913687,0.0101118748990361,0,0,0,0,0,0,0,0,0,0.339260882816707,-0.331887574502184,0.00737330831452345
0.393231979442575,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.470353609594468,-0.459722647664813,0.0106309619296543,0,0,0,0,0,0,0,0,0,0.34808980623468,-0.340201891087583,0.00788791514709708
0.403042803056805,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.474964111915655,-0.463787003798197,0.0111771081174583,0,0,0,0,0,0,0,0,0,0.356823792573116,-0.348394461408974,0.00842933116414173
0.413098398879354,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.479636309916371,-0.467884624045363,0.0117516858710082,0,0,0,0,0,0,0,0,0,0.365381844410008,-0.356382801806511,0.00899904260349653
0.423404873781195,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.484290009673312,-0.471933739668106,0.0123562700052064,0,0,0,0,0,0,0,0,0,0.373828442183889,-0.364229911986328,0.00959853019756073
0.433968486994854,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.489125922349437,-0.476133607808986,0.0129923145404513,0,0,0,0,0,0,0,0,0,0.382272295450353,-0.37204298475264,0.0102293106977132
